Geneid	SRR11025990	SRR11025989	SRR11025988	SRR11025987	SRR11025986	SRR11025985	SRR11025984	SRR11025983
ENSRNOG00000000001	1	0	2	2	0	1	0	2
ENSRNOG00000000007	5	20	5	10	7	18	8	11
ENSRNOG00000000008	0	0	0	0	0	0	0	0
ENSRNOG00000000009	0	0	0	0	0	0	0	0
ENSRNOG00000000010	0	0	0	0	0	0	0	0
ENSRNOG00000000012	0	0	0	0	0	0	2	0
ENSRNOG00000000017	2	3	7	3	2	8	4	5
ENSRNOG00000000021	304	217	343	316	179	408	203	225
ENSRNOG00000000024	3223	2484	3635	3148	2397	4804	2507	3123
ENSRNOG00000000033	607	251	1074	142	300	848	482	309
ENSRNOG00000000034	1846	1149	1468	1731	1207	2046	1042	1859
ENSRNOG00000000035	1	0	2	1	0	1	0	0
ENSRNOG00000000036	365	257	632	326	209	346	269	394
ENSRNOG00000000040	50	32	55	44	32	63	31	34
ENSRNOG00000000041	12031	8888	14046	11811	6888	10591	6527	9029
ENSRNOG00000000042	782	474	917	740	644	872	471	535
ENSRNOG00000000043	3001	2221	3249	2552	1721	3079	1781	2471
ENSRNOG00000000044	589	466	564	524	341	602	327	426
ENSRNOG00000000047	2719	2177	2714	2312	2272	3269	2015	2552
ENSRNOG00000000048	3944	2887	4450	3774	2975	4698	2567	3424
ENSRNOG00000000053	228830	195555	214430	230772	173569	255676	132340	231956
ENSRNOG00000000054	165	62	125	142	76	265	134	146
ENSRNOG00000000055	2	1	1	0	0	3	0	0
ENSRNOG00000000060	2	5	8	3	3	6	3	4
ENSRNOG00000000062	340	205	385	328	241	411	224	234
ENSRNOG00000000064	1594	1075	1548	1693	824	1406	925	1415
ENSRNOG00000000065	1	1	6	21	1	2	0	3
ENSRNOG00000000066	737	494	839	605	496	849	491	562
ENSRNOG00000000068	5761	3241	5642	4152	3658	5703	4107	4233
ENSRNOG00000000070	1	1	1	2	0	70	1	33
ENSRNOG00000000073	2077	1636	2591	2018	1255	1974	951	1254
ENSRNOG00000000075	256	193	349	264	236	287	167	203
ENSRNOG00000000081	1526	1087	1669	1680	913	1545	728	1120
ENSRNOG00000000082	339	322	405	335	305	493	238	288
ENSRNOG00000000091	0	0	2	0	0	0	0	0
ENSRNOG00000000095	1933	1407	2187	2070	1472	1941	1188	1455
ENSRNOG00000000096	3162	2605	2930	2721	1886	2629	1573	2611
ENSRNOG00000000097	6	2	8	6	9	8	2	6
ENSRNOG00000000098	1608	1188	1840	1533	1275	1757	1041	1292
ENSRNOG00000000104	952	691	1070	867	639	1130	607	785
ENSRNOG00000000105	95	51	92	95	51	110	51	88
ENSRNOG00000000108	1455	991	1557	1254	924	1378	860	921
ENSRNOG00000000109	0	0	0	0	0	0	0	0
ENSRNOG00000000111	159	98	201	130	87	162	101	121
ENSRNOG00000000112	1025	667	1032	965	618	1098	557	753
ENSRNOG00000000113	438	273	344	350	229	393	245	275
ENSRNOG00000000121	362	277	410	337	265	379	246	240
ENSRNOG00000000122	8398	7708	10485	8648	7476	11054	7188	7639
ENSRNOG00000000123	485	408	637	463	347	575	323	434
ENSRNOG00000000124	0	0	0	0	0	0	0	0
ENSRNOG00000000127	2996	2137	3223	3061	2449	3441	2096	2675
ENSRNOG00000000129	0	0	0	0	0	0	0	0
ENSRNOG00000000130	1020	718	886	1000	744	1336	598	930
ENSRNOG00000000133	1162	838	1332	1054	786	1310	854	980
ENSRNOG00000000137	97	61	134	93	85	129	86	142
ENSRNOG00000000138	5	2	6	6	1	4	5	5
ENSRNOG00000000142	130	75	91	96	55	142	44	82
ENSRNOG00000000145	72	44	101	56	43	73	42	36
ENSRNOG00000000150	1486	930	1670	1302	1042	1524	905	1095
ENSRNOG00000000151	925	685	893	729	662	944	598	817
ENSRNOG00000000155	908	563	1081	726	722	1183	504	681
ENSRNOG00000000156	14	11	16	23	16	18	8	10
ENSRNOG00000000157	2065	1430	2249	2004	1586	2312	1245	1599
ENSRNOG00000000158	65642	51063	70723	73758	50351	70546	38914	46805
ENSRNOG00000000161	557	317	588	482	363	627	272	336
ENSRNOG00000000164	20963	14561	22309	20639	15255	22019	11456	16890
ENSRNOG00000000165	4943	3394	4144	5820	2003	2804	1497	2122
