pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_CHOLESTEROL_HOMEOSTASIS	2.4174330570035e-07	1.20871652850175e-05	0.674962860011025	0.697248499058467	2.12291546496528	72	ENSRNOG00000045636;ENSRNOG00000016122;ENSRNOG00000009550;ENSRNOG00000018755;ENSRNOG00000020989;ENSRNOG00000016690;ENSRNOG00000007234;ENSRNOG00000054549;ENSRNOG00000002826;ENSRNOG00000004400;ENSRNOG00000049604;ENSRNOG00000007400;ENSRNOG00000007964;ENSRNOG00000016552;ENSRNOG00000000081;ENSRNOG00000046357;ENSRNOG00000013376;ENSRNOG00000019189;ENSRNOG00000007319;ENSRNOG00000020440;ENSRNOG00000008048;ENSRNOG00000049075;ENSRNOG00000004903
HALLMARK_G2M_CHECKPOINT	2.21479664908734e-06	5.53699162271834e-05	0.627256739718528	-0.464710299433643	-1.80211166603103	191	ENSRNOG00000016810;ENSRNOG00000000070;ENSRNOG00000028415;ENSRNOG00000008165;ENSRNOG00000000585;ENSRNOG00000000632;ENSRNOG00000018824;ENSRNOG00000003661;ENSRNOG00000034177;ENSRNOG00000009339;ENSRNOG00000028137;ENSRNOG00000053047;ENSRNOG00000032178;ENSRNOG00000004487;ENSRNOG00000019100;ENSRNOG00000060703;ENSRNOG00000049033;ENSRNOG00000022325;ENSRNOG00000018929;ENSRNOG00000018815;ENSRNOG00000020281;ENSRNOG00000010306;ENSRNOG00000015423;ENSRNOG00000016316;ENSRNOG00000008620;ENSRNOG00000021815;ENSRNOG00000059894;ENSRNOG00000013057;ENSRNOG00000012543;ENSRNOG00000007805;ENSRNOG00000013774;ENSRNOG00000032778;ENSRNOG00000012835;ENSRNOG00000014960;ENSRNOG00000050819;ENSRNOG00000020643;ENSRNOG00000032929;ENSRNOG00000014080;ENSRNOG00000018904;ENSRNOG00000052275;ENSRNOG00000007483;ENSRNOG00000004479;ENSRNOG00000043416;ENSRNOG00000006048;ENSRNOG00000029273;ENSRNOG00000011096;ENSRNOG00000013727;ENSRNOG00000050482;ENSRNOG00000003388;ENSRNOG00000016001;ENSRNOG00000045568;ENSRNOG00000008956;ENSRNOG00000007267;ENSRNOG00000005659;ENSRNOG00000003802;ENSRNOG00000018835;ENSRNOG00000004709;ENSRNOG00000009785;ENSRNOG00000005141;ENSRNOG00000015329;ENSRNOG00000056069;ENSRNOG00000013005
HALLMARK_E2F_TARGETS	3.95358912141035e-05	0.000658931520235058	0.557332238758646	-0.436167073893084	-1.69539076284981	194	ENSRNOG00000016810;ENSRNOG00000028415;ENSRNOG00000000632;ENSRNOG00000007906;ENSRNOG00000001457;ENSRNOG00000003661;ENSRNOG00000006996;ENSRNOG00000009339;ENSRNOG00000028137;ENSRNOG00000053047;ENSRNOG00000031431;ENSRNOG00000019100;ENSRNOG00000049033;ENSRNOG00000018815;ENSRNOG00000020281;ENSRNOG00000010306;ENSRNOG00000016316;ENSRNOG00000001088;ENSRNOG00000018411;ENSRNOG00000005157;ENSRNOG00000013598;ENSRNOG00000059894;ENSRNOG00000012543;ENSRNOG00000002855;ENSRNOG00000020022;ENSRNOG00000007805;ENSRNOG00000013774;ENSRNOG00000015529;ENSRNOG00000012835;ENSRNOG00000009823;ENSRNOG00000014960;ENSRNOG00000050819;ENSRNOG00000004479;ENSRNOG00000006048;ENSRNOG00000010721;ENSRNOG00000011096;ENSRNOG00000024170;ENSRNOG00000000938;ENSRNOG00000018063;ENSRNOG00000000122;ENSRNOG00000021713;ENSRNOG00000008956;ENSRNOG00000001833;ENSRNOG00000004908;ENSRNOG00000021264;ENSRNOG00000005659;ENSRNOG00000023262;ENSRNOG00000003802;ENSRNOG00000009785;ENSRNOG00000005141;ENSRNOG00000015329;ENSRNOG00000013005;ENSRNOG00000025028;ENSRNOG00000017509;ENSRNOG00000047692;ENSRNOG00000059878;ENSRNOG00000009503;ENSRNOG00000015810;ENSRNOG00000020906;ENSRNOG00000005376
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.000567727535586535	0.00709659419483169	0.477270815362862	-0.60713641233849	-1.88575077691736	46	ENSRNOG00000001890;ENSRNOG00000016166;ENSRNOG00000006302;ENSRNOG00000018186;ENSRNOG00000012081;ENSRNOG00000017194;ENSRNOG00000013118;ENSRNOG00000013409;ENSRNOG00000009088;ENSRNOG00000014915
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.000745593006954442	0.00745593006954442	0.477270815362862	-0.500016473290667	-1.7635953105957	93	ENSRNOG00000026965;ENSRNOG00000030467;ENSRNOG00000001369;ENSRNOG00000019246;ENSRNOG00000006227;ENSRNOG00000023969;ENSRNOG00000008144;ENSRNOG00000003289;ENSRNOG00000001187;ENSRNOG00000019387;ENSRNOG00000015577;ENSRNOG00000020678;ENSRNOG00000031081;ENSRNOG00000001963;ENSRNOG00000049994;ENSRNOG00000003217;ENSRNOG00000029195;ENSRNOG00000018247;ENSRNOG00000008196;ENSRNOG00000002341;ENSRNOG00000022218;ENSRNOG00000037198;ENSRNOG00000022298;ENSRNOG00000019041;ENSRNOG00000020744;ENSRNOG00000004359;ENSRNOG00000017496;ENSRNOG00000010240;ENSRNOG00000001959;ENSRNOG00000054561;ENSRNOG00000017414;ENSRNOG00000023463;ENSRNOG00000059900;ENSRNOG00000007690;ENSRNOG00000013267;ENSRNOG00000015441;ENSRNOG00000017123;ENSRNOG00000027502;ENSRNOG00000017949
HALLMARK_COAGULATION	0.0020028253811333	0.0166902115094441	0.431707695803346	0.496815809644177	1.62228032297917	123	ENSRNOG00000010890;ENSRNOG00000007949;ENSRNOG00000025053;ENSRNOG00000003430;ENSRNOG00000015139;ENSRNOG00000051061;ENSRNOG00000018991;ENSRNOG00000018282;ENSRNOG00000010331;ENSRNOG00000007378;ENSRNOG00000056219;ENSRNOG00000016325;ENSRNOG00000019689;ENSRNOG00000010947;ENSRNOG00000018566;ENSRNOG00000019680;ENSRNOG00000033564;ENSRNOG00000046834;ENSRNOG00000048472;ENSRNOG00000017231;ENSRNOG00000024848;ENSRNOG00000007457;ENSRNOG00000017223;ENSRNOG00000001414;ENSRNOG00000011971;ENSRNOG00000014288;ENSRNOG00000010208;ENSRNOG00000011800;ENSRNOG00000025074;ENSRNOG00000028896;ENSRNOG00000033386;ENSRNOG00000028015;ENSRNOG00000033444;ENSRNOG00000028701;ENSRNOG00000051235;ENSRNOG00000025959;ENSRNOG00000008937;ENSRNOG00000002783;ENSRNOG00000000596
HALLMARK_BILE_ACID_METABOLISM	0.00300058311988754	0.0214327365706253	0.431707695803346	0.500744454005105	1.62595984714339	108	ENSRNOG00000019626;ENSRNOG00000005420;ENSRNOG00000016690;ENSRNOG00000020480;ENSRNOG00000019205;ENSRNOG00000015538;ENSRNOG00000006787;ENSRNOG00000008798;ENSRNOG00000020546;ENSRNOG00000004027;ENSRNOG00000025991;ENSRNOG00000017188;ENSRNOG00000010633;ENSRNOG00000047493;ENSRNOG00000002210;ENSRNOG00000057116;ENSRNOG00000018838;ENSRNOG00000037446;ENSRNOG00000039091;ENSRNOG00000002906;ENSRNOG00000009446;ENSRNOG00000017619;ENSRNOG00000020440;ENSRNOG00000019630;ENSRNOG00000059519;ENSRNOG00000001967;ENSRNOG00000016265;ENSRNOG00000013794;ENSRNOG00000011929;ENSRNOG00000004378;ENSRNOG00000009488;ENSRNOG00000010128;ENSRNOG00000022576;ENSRNOG00000014522;ENSRNOG00000018044;ENSRNOG00000021262
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.00526684456451949	0.0292602475806638	0.407017918923954	0.433304351705597	1.49915774019627	178	ENSRNOG00000045636;ENSRNOG00000029543;ENSRNOG00000015498;ENSRNOG00000010589;ENSRNOG00000009797;ENSRNOG00000005108;ENSRNOG00000058271;ENSRNOG00000002232;ENSRNOG00000015076;ENSRNOG00000046333;ENSRNOG00000015236;ENSRNOG00000016866;ENSRNOG00000055446;ENSRNOG00000000096;ENSRNOG00000049768;ENSRNOG00000012787;ENSRNOG00000048495;ENSRNOG00000005248;ENSRNOG00000013963;ENSRNOG00000018110;ENSRNOG00000012658;ENSRNOG00000017766;ENSRNOG00000022523;ENSRNOG00000011068;ENSRNOG00000042374;ENSRNOG00000014751;ENSRNOG00000012414;ENSRNOG00000060237;ENSRNOG00000020776;ENSRNOG00000004200;ENSRNOG00000009862;ENSRNOG00000010298;ENSRNOG00000010128;ENSRNOG00000000981;ENSRNOG00000059479;ENSRNOG00000021206
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00489796757053909	0.0292602475806638	0.407017918923954	-0.381185693634239	-1.46821711010207	174	ENSRNOG00000010165;ENSRNOG00000001548;ENSRNOG00000011951;ENSRNOG00000007237;ENSRNOG00000007607;ENSRNOG00000002520;ENSRNOG00000003809;ENSRNOG00000016587;ENSRNOG00000014350;ENSRNOG00000005214;ENSRNOG00000020573;ENSRNOG00000020938;ENSRNOG00000019496;ENSRNOG00000008015;ENSRNOG00000001979;ENSRNOG00000054437;ENSRNOG00000003745;ENSRNOG00000001647;ENSRNOG00000008620;ENSRNOG00000006227;ENSRNOG00000006019;ENSRNOG00000008144;ENSRNOG00000026293;ENSRNOG00000059406;ENSRNOG00000055524;ENSRNOG00000018911;ENSRNOG00000014061;ENSRNOG00000011039;ENSRNOG00000019907;ENSRNOG00000043416;ENSRNOG00000016885;ENSRNOG00000017212;ENSRNOG00000011879;ENSRNOG00000005905;ENSRNOG00000001843;ENSRNOG00000002032;ENSRNOG00000018752;ENSRNOG00000019598;ENSRNOG00000010626;ENSRNOG00000003147;ENSRNOG00000061862;ENSRNOG00000006384;ENSRNOG00000005600;ENSRNOG00000020614;ENSRNOG00000050404;ENSRNOG00000006025;ENSRNOG00000022298;ENSRNOG00000004575;ENSRNOG00000008859
HALLMARK_MYOGENESIS	0.00733427052412618	0.0333375932914826	0.407017918923954	0.433494435633213	1.48166257404284	158	ENSRNOG00000008245;ENSRNOG00000015658;ENSRNOG00000019372;ENSRNOG00000008829;ENSRNOG00000002215;ENSRNOG00000003897;ENSRNOG00000057701;ENSRNOG00000047457;ENSRNOG00000046333;ENSRNOG00000010633;ENSRNOG00000001815;ENSRNOG00000049768;ENSRNOG00000018991;ENSRNOG00000052564;ENSRNOG00000033734;ENSRNOG00000000875;ENSRNOG00000014371;ENSRNOG00000018110;ENSRNOG00000033564;ENSRNOG00000019810;ENSRNOG00000016731;ENSRNOG00000001807;ENSRNOG00000017628;ENSRNOG00000018220;ENSRNOG00000015396;ENSRNOG00000016617;ENSRNOG00000000521;ENSRNOG00000001254;ENSRNOG00000020719;ENSRNOG00000028041;ENSRNOG00000013720;ENSRNOG00000050841;ENSRNOG00000057880;ENSRNOG00000016671;ENSRNOG00000005580;ENSRNOG00000057620;ENSRNOG00000017484;ENSRNOG00000017392;ENSRNOG00000049056;ENSRNOG00000018145;ENSRNOG00000020332;ENSRNOG00000050997;ENSRNOG00000019745;ENSRNOG00000016214
HALLMARK_P53_PATHWAY	0.00679114568382156	0.0333375932914826	0.407017918923954	-0.365725316064945	-1.3987530215487	171	ENSRNOG00000050473;ENSRNOG00000011951;ENSRNOG00000037690;ENSRNOG00000018421;ENSRNOG00000020876;ENSRNOG00000013771;ENSRNOG00000003809;ENSRNOG00000016587;ENSRNOG00000058497;ENSRNOG00000009222;ENSRNOG00000000047;ENSRNOG00000019357;ENSRNOG00000020938;ENSRNOG00000043201;ENSRNOG00000008015;ENSRNOG00000020451;ENSRNOG00000003745;ENSRNOG00000030391;ENSRNOG00000010178;ENSRNOG00000007133;ENSRNOG00000001312;ENSRNOG00000022812;ENSRNOG00000014948;ENSRNOG00000016029;ENSRNOG00000009244;ENSRNOG00000026293;ENSRNOG00000059406;ENSRNOG00000009325;ENSRNOG00000019387;ENSRNOG00000003515;ENSRNOG00000006557;ENSRNOG00000058646;ENSRNOG00000014090;ENSRNOG00000015812;ENSRNOG00000031612
HALLMARK_ADIPOGENESIS	0.00939026046736792	0.0383461693606039	0.380730400722792	0.413466875987495	1.43464081802593	180	ENSRNOG00000015658;ENSRNOG00000019342;ENSRNOG00000002215;ENSRNOG00000024128;ENSRNOG00000020546;ENSRNOG00000055078;ENSRNOG00000004245;ENSRNOG00000012457;ENSRNOG00000001442;ENSRNOG00000010838;ENSRNOG00000016924;ENSRNOG00000052564;ENSRNOG00000054689;ENSRNOG00000017513;ENSRNOG00000001991;ENSRNOG00000022485;ENSRNOG00000046834;ENSRNOG00000058658;ENSRNOG00000001807;ENSRNOG00000033262;ENSRNOG00000006623;ENSRNOG00000021202;ENSRNOG00000001232;ENSRNOG00000028711;ENSRNOG00000011696;ENSRNOG00000037850;ENSRNOG00000010277;ENSRNOG00000021524;ENSRNOG00000023520;ENSRNOG00000020776;ENSRNOG00000013223;ENSRNOG00000021139;ENSRNOG00000000981;ENSRNOG00000002433;ENSRNOG00000019147;ENSRNOG00000058006;ENSRNOG00000005854;ENSRNOG00000018044;ENSRNOG00000009155;ENSRNOG00000001205;ENSRNOG00000052802;ENSRNOG00000013604;ENSRNOG00000015029;ENSRNOG00000003163;ENSRNOG00000009063;ENSRNOG00000018145;ENSRNOG00000010805
HALLMARK_ANDROGEN_RESPONSE	0.0107369274209691	0.0383461693606039	0.380730400722792	0.47749141081349	1.50369124702865	91	ENSRNOG00000016122;ENSRNOG00000016690;ENSRNOG00000020480;ENSRNOG00000027089;ENSRNOG00000006787;ENSRNOG00000016552;ENSRNOG00000026455;ENSRNOG00000006305;ENSRNOG00000006859;ENSRNOG00000048495;ENSRNOG00000024470;ENSRNOG00000002926;ENSRNOG00000009980;ENSRNOG00000022523;ENSRNOG00000011696;ENSRNOG00000027839;ENSRNOG00000007304;ENSRNOG00000001607;ENSRNOG00000014872;ENSRNOG00000017467
