pathway	NES	ES	pval	padj	size	leadingEdge
(REACTOME) Metabolism	1.65351972120084	0.414535262219249	2.43723872093225e-12	4.85010505465518e-09	1295	mt-Co3;Bhmt;Pfkfb1;Fasn;Hmgcr;Dmgdh;Ip6k2;Etnppl;Ptgis;Prkar2a;Sqle;Slc27a5;Acss2;Tm7sf2;Pla1a;Slc10a2;Slc37a4;St3gal1;Idi1;Slc25a32;Msmo1;Upp2;Fads1;Pc;Cyp51;Slc26a1;Aacs;Sardh;Sult1a1;Ptdss2;Lss;Abcc3;Nup210;Hsd17b7;Pfkfb2;Glud1;Akr1c1;Cers2;Aldh1b1;Cyp2e1;Ctps1;Lhpp;Fmo2;Aco2;Ahcy;Gcdh;Acsm5;Chpt1;Prkaa2;Ahr;Cyp4a1;Gnpat;Mdh1;Mvk;Oat;Stard7;Dhcr24;Srebf2;Plbd1;Cyp2a1;Lrp1;Ugt2b34l1;Pipox;Slc2a2;Cyp26b1;Aldh9a1;Hmgcs1;Nampt;Cyp4b1;Asns;Odc1;Entpd4;Bpnt1;Cyc1;Kdsr;Uck2;Chst3;Gstz1;Ido2;Nnt;Mat1a;Cyp27a1;Acsl1;Aadac;Plpp3;Cpt1a;Adh4;Tspoap1;Mvd;Tcn2;Acad11;Acsl4;Gpd1l;Acat2;Slco1a4;Thrsp;Hsd17b11;Ext1;Hpd;Qprt;Armc8;Acer2;Prodh1;Itpr1;Sdc4;Apoa2;Fpgs;Aldh1l1;Pnpla3;Pnpla8;Hk3;Acly;Prodh2;Dpyd;Gda;B4galnt1;Cox7b;Akr1b10;Acox2;Hprt1;Gsta3;Slc44a2;Chdh;Slc25a15;Coq7;Miga2;Atp5po;Ggt1;As3mt;Miox;Them4;Aldh1a1;Marcks;Glul;Fads2;Cps1;Sirt3;Nostrin;Adh7;Ctsl;Ftcd;Cox5a;Ppt1;Arnt;Neu1;Ldhb;Got1;Gpc2;Hacl1;Man2c1;Impdh2;Adh1c;Acad9;Slc44a1;Ca12;Cyp1a1;Bbox1;Arsl;Plpp1;Cacna1d;Dmac2l;Atp5f1d;Ebp;Slc51a;Mmachc;Cyp3a9;Ces1d;Chp1;Papss2;Atp5mg;Pcyt1a;Smpd3;Pah;Acaca;Flad1;Pank4;B3galt5;Slc19a1;Sult1b1;Slc25a20;Dgat1;Sdhd;Upp1;Pm20d1;Nudt4;Shpk;Itpka;Hs3st3b1;Smpd1;Plcb1;Acsl5;Upb1;Cers6;Cyp1a2;Lpcat1;Pank3;Atp5mc2;Idh3a;Uroc1;Slc44a3;Lpin2;Plcb4;Sgpp1;Itpr3;Ogdh;Slc25a12;Aass;Rbp2;Fmo3;Cs;Rbp4;Crebbp;Cbr4;Aldoc;Sacm1l;Cyp4f4;Pi4k2a;Dcn;Dhcr7;Sgms1;Fah;Phkg1;Tdo2
(REACTOME) Metabolism of lipids	1.87197173089623	0.495015780154283	7.73439993831098e-10	7.69572793861943e-07	430	Fasn;Hmgcr;Etnppl;Ptgis;Sqle;Slc27a5;Tm7sf2;Pla1a;Slc10a2;Idi1;Msmo1;Fads1;Cyp51;Aacs;Ptdss2;Lss;Abcc3;Hsd17b7;Akr1c1;Cers2;Cyp2e1;Chpt1;Prkaa2;Cyp4a1;Gnpat;Mvk;Stard7;Dhcr24;Srebf2;Plbd1;Hmgcs1;Cyp4b1;Kdsr;Cyp27a1;Acsl1;Plpp3;Cpt1a;Tspoap1;Mvd;Acsl4;Gpd1l;Acat2;Slco1a4;Thrsp;Hsd17b11;Acer2;Pnpla3;Pnpla8;Acly;B4galnt1;Akr1b10;Acox2;Slc44a2;Miga2;Ggt1;Them4;Fads2;Neu1;Hacl1;Slc44a1;Cyp1a1;Arsl;Plpp1;Ebp;Slc51a;Cyp3a9;Pcyt1a;Smpd3;Acaca;Slc25a20;Dgat1;Smpd1;Acsl5;Cers6;Cyp1a2;Lpcat1;Slc44a3;Lpin2;Sgpp1;Crebbp;Cbr4;Sacm1l;Cyp4f4;Pi4k2a;Dhcr7;Sgms1;Star;Cyp7a1;Cyp4f1;Acer3;Mtmr7;Slc27a2;Rab4a;Pik3r1;Plaat3;Tnfaip8l2;Stard4;Mlycd;Acot7;Phyh;Plpp6;Agpat3;Hadha;Hsd17b12;Srd5a1;Elovl2;Stard10;Pten;Gpx4;Akr1c14;Gba2;St3gal3;Ptpn13;Ddhd2
(REACTOME) Cell Cycle	-1.75227028329766	-0.414321520101602	2.76930146429457e-09	1.37772747848655e-06	449	Cdc20;Tpx2;Ubc;Cdk1;Bub1b;Rfc2;Cenpe;Cdca8;Ywhah;Kif2c;Ccnb1;Ncapg2;Smc2;Plk1;Nme7;Ywhaz;Ccna2;Nudc;Taok1;Mcm2;Rfc3;Pold3;Sec13;Anapc5;Rbbp7;Nuf2;Cenpk;Nup54;Aaas;Mcm3;Psmb6;Babam1;Rfc1;Rb1;Sfi1;Lmnb1;Bora;Bub1;Psmd8;Csnk2a1;Psmb7;Tubb6;Bard1;Psmb3;Birc5;Ercc6l;Tert;Rcc2;Incenp;Hdac8;Kif23;Anapc10;Kif20a;Ncapg;H2az2;Aurka;Topbp1;Cenpi;Brcc3;Dynll2;Cenpw;Tp53bp1;B9d2;Vps4a;Psmc2;Sgo2;Cenpt;Cenpq;Pkmyt1;Ran;Ndc80;Emd;Firrm;Ppp2r5a;Rad1;Psmb5;Lmna;Dbf4;Kif18a;Cenpf;Lcmt1;Terf1;Cdk5rap2;Blzf1;Rcc1;Ssna1;Mnat1;Mcm4;Zfp385a;Pcna;Aurkb;Tuba3a;Cenpm;Pttg1;Gorasp1;Chtf18;Cep192;Hus1;Pold4;Haus4;Ndel1;Anapc15;Rpa2;Rfc4;Psma5;Psmd1;Chmp4c;Tinf2;Ube2c;Ppp2cb;Mapre1;Rhno1;Ruvbl1;Sgo1;Mad2l1;Psmb6l1;Psma2;Nup35;Nop10;Cep72;Psmc4;Fbxw11;Rad17;Ticrr;Ccnd1;Cdc25c;Cdc16;Dync1i1;Cdk7;Prkca;Cdk6;Akt2;Tubg1;Chek2;Abl1;Chmp6;Cdca5;Esco1;Mcph1;Tubgcp2;Ywhab;Ppp1r12a;Ube2s;Mis18a;Cenpn;Src;Psmb2;Zw10;Mdm4;Prim2;Mis18bp1;Cnep1r1;Chtf8;Orc5;Kntc1;Stag1;Tubgcp4;Psmb4;Cenph;Psmd6;Cenpp;Rab1a;Ccne1;Pmf1;Cep70;Ppp2r1b
(REACTOME) Mitotic Anaphase	-2.07596700237018	-0.540963956070738	2.5829840731877e-09	1.37772747848655e-06	171	Cdc20;Ubc;Cdk1;Bub1b;Cenpe;Cdca8;Kif2c;Ccnb1;Plk1;Nudc;Taok1;Sec13;Anapc5;Nuf2;Cenpk;Psmb6;Lmnb1;Bub1;Psmd8;Psmb7;Tubb6;Psmb3;Birc5;Ercc6l;Rcc2;Incenp;Hdac8;Anapc10;Cenpi;Dynll2;B9d2;Vps4a;Psmc2;Sgo2;Cenpt;Cenpq;Ran;Ndc80;Emd;Ppp2r5a;Psmb5;Lmna;Kif18a;Cenpf;Rcc1;Aurkb;Tuba3a;Cenpm;Pttg1;Ndel1;Anapc15;Psma5;Psmd1;Chmp4c;Ube2c;Ppp2cb;Mapre1;Sgo1;Mad2l1;Psmb6l1;Psma2;Nup35;Psmc4;Cdc16;Dync1i1;Chmp6;Cdca5;Ube2s;Cenpn;Psmb2;Zw10;Kntc1;Stag1;Psmb4;Cenph;Psmd6;Cenpp;Pmf1;Ppp2r1b
(REACTOME) Cell Cycle, Mitotic	-1.78485178428129	-0.42648157388342	5.91503595218153e-09	1.96182025747354e-06	371	Cdc20;Tpx2;Ubc;Cdk1;Bub1b;Rfc2;Cenpe;Cdca8;Kif2c;Ccnb1;Ncapg2;Smc2;Plk1;Nme7;Ccna2;Nudc;Taok1;Mcm2;Rfc3;Pold3;Sec13;Anapc5;Nuf2;Cenpk;Nup54;Aaas;Mcm3;Psmb6;Rfc1;Rb1;Sfi1;Lmnb1;Bora;Bub1;Psmd8;Csnk2a1;Psmb7;Tubb6;Psmb3;Birc5;Ercc6l;Rcc2;Incenp;Hdac8;Kif23;Anapc10;Kif20a;Ncapg;H2az2;Aurka;Cenpi;Dynll2;B9d2;Vps4a;Psmc2;Sgo2;Cenpt;Cenpq;Pkmyt1;Ran;Ndc80;Emd;Firrm;Ppp2r5a;Psmb5;Lmna;Dbf4;Kif18a;Cenpf;Lcmt1;Cdk5rap2;Blzf1;Rcc1;Ssna1;Mnat1;Mcm4;Pcna;Aurkb;Tuba3a;Cenpm;Pttg1;Gorasp1;Cep192;Pold4;Haus4;Ndel1;Anapc15;Rpa2;Rfc4;Psma5;Psmd1;Chmp4c;Ube2c;Ppp2cb;Mapre1;Sgo1;Mad2l1;Psmb6l1;Psma2;Nup35;Cep72;Psmc4;Fbxw11;Ticrr;Ccnd1;Cdc25c;Cdc16;Dync1i1;Cdk7;Prkca;Cdk6;Akt2;Tubg1;Abl1;Chmp6;Cdca5;Esco1;Mcph1;Tubgcp2;Ppp1r12a;Ube2s;Cenpn;Src;Psmb2;Zw10;Prim2;Mis18bp1;Cnep1r1;Orc5;Kntc1;Stag1;Tubgcp4;Psmb4;Cenph;Psmd6;Cenpp;Rab1a;Ccne1;Pmf1;Cep70;Ppp2r1b
(REACTOME) Mitotic Metaphase and Anaphase	-2.07952236319235	-0.540449423738098	5.09067621981067e-09	1.96182025747354e-06	172	Cdc20;Ubc;Cdk1;Bub1b;Cenpe;Cdca8;Kif2c;Ccnb1;Plk1;Nudc;Taok1;Sec13;Anapc5;Nuf2;Cenpk;Psmb6;Lmnb1;Bub1;Psmd8;Psmb7;Tubb6;Psmb3;Birc5;Ercc6l;Rcc2;Incenp;Hdac8;Anapc10;Cenpi;Dynll2;B9d2;Vps4a;Psmc2;Sgo2;Cenpt;Cenpq;Ran;Ndc80;Emd;Ppp2r5a;Psmb5;Lmna;Kif18a;Cenpf;Rcc1;Aurkb;Tuba3a;Cenpm;Pttg1;Ndel1;Anapc15;Psma5;Psmd1;Chmp4c;Ube2c;Ppp2cb;Mapre1;Sgo1;Mad2l1;Psmb6l1;Psma2;Nup35;Psmc4;Cdc16;Dync1i1;Chmp6;Cdca5;Ube2s;Cenpn;Psmb2;Zw10;Kntc1;Stag1;Psmb4;Cenph;Psmd6;Cenpp;Pmf1;Ppp2r1b
(REACTOME) Cholesterol biosynthesis	2.22107949333415	0.892382520184543	2.89705081006347e-08	8.23590158860902e-06	22	Hmgcr;Sqle;Tm7sf2;Idi1;Msmo1;Cyp51;Lss;Hsd17b7;Mvk;Dhcr24;Srebf2;Hmgcs1;Mvd;Acat2
(KEGG) Coronavirus disease - COVID-19	1.98850906972701	0.557182678886595	4.59655492223478e-08	1.1433930369059e-05	220	Stat3;Rpl15;Rplp0;Masp1;Rpl3;Rps3a;Rpsa;Egfr;Il6r;Rps21;Rpl13;Rpl5;Rps24;Rps18l1;Rpl34;Rps5;Rpl18a;Rps14;Rps25;Rps4x;Rpl32;Rps12l1;C6;Rpl21;Rpl28;Rpl6;Rpl23;Rps8;Mapk14;Rpl39;Rpl29;F2;Rpl26;Chuk;Vwf;Rps16;Il6st;Rps29;Rps27;Rps2;Cfd;Tlr7;C3;Mapk10;Rps15;Rpl4;Rps10;Rps28;Rps24l7;C1s;LOC100362366;Rps20;Rpl19;Rpl24l1;Fau;Rps12;Rpl27;Rps12l12;F13a1;Rpl35;Rpl14;Rpl30l2;Rpl27l1;Rpl37l1;Rps8-ps17;C2;Rps27l3;Rplp1l1;Rps18l3;Rps3l1;Rpl9;Rpl32l3;Rplp2l2;Rpl36al1;Pik3r1;Rpl11;LOC102555453;Rps15a
(REACTOME) Cap-dependent Translation Initiation	2.1490339342788	0.679958406583399	9.0857342476537e-08	1.49120208278423e-05	88	Rpl15;Rplp0;Rpl3;Rps3a;Rpsa;Rps21;Rpl13;Rpl5;Rps24;Rps5;Eif2s3;Rpl18a;Rps14;Eif4a2;Rps25;Rps4x;Rpl32;Rpl28;Rpl6;Rpl23;Rps8;Rpl39;Rpl29;Rpl26;Rps16;Rps29;Rps27;Rps2;Rps15;Rpl4;Eif2b3;Rps10;Rps28;Rps20;Pabpc1;Eif2b2;Rpl19;Rpl27;Rpl35;Eif3e;Rpl37l1;Rpl9;Rpl36al1;Rpl11;Eif3j;Rps15a
(REACTOME) Cell Cycle Checkpoints	-1.90724229365438	-0.488303356569937	6.76201002910586e-08	1.49120208278423e-05	210	Cdc20;Ubc;Cdk1;Bub1b;Rfc2;Cenpe;Cdca8;Ywhah;Kif2c;Ccnb1;Plk1;Ywhaz;Ccna2;Nudc;Taok1;Mcm2;Rfc3;Sec13;Anapc5;Nuf2;Cenpk;Mcm3;Psmb6;Babam1;Bub1;Psmd8;Psmb7;Bard1;Psmb3;Birc5;Ercc6l;Rcc2;Incenp;Anapc10;Topbp1;Cenpi;Brcc3;Dynll2;Tp53bp1;B9d2;Psmc2;Sgo2;Cenpt;Cenpq;Pkmyt1;Ndc80;Ppp2r5a;Rad1;Psmb5;Dbf4;Kif18a;Cenpf;Mcm4;Zfp385a;Aurkb;Cenpm;Hus1;Ndel1;Anapc15;Rpa2;Rfc4;Psma5;Psmd1;Ube2c;Ppp2cb;Mapre1;Rhno1;Sgo1;Mad2l1;Psmb6l1;Psma2;Psmc4;Fbxw11;Rad17;Cdc25c;Cdc16;Dync1i1;Chek2;Ywhab;Ube2s;Cenpn;Psmb2;Zw10;Mdm4;Orc5;Kntc1;Psmb4;Cenph;Psmd6;Cenpp;Ccne1;Pmf1;Ppp2r1b
