pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.28435638002369e-06	6.42178190011847e-05	0.643551836150722	0.699616981116329	2.09444599902562	71	ENSRNOG00000045636;ENSRNOG00000016122;ENSRNOG00000009550;ENSRNOG00000018755;ENSRNOG00000020989;ENSRNOG00000016690;ENSRNOG00000054549;ENSRNOG00000007234;ENSRNOG00000002826;ENSRNOG00000004903;ENSRNOG00000046357;ENSRNOG00000007400;ENSRNOG00000016552;ENSRNOG00000004400;ENSRNOG00000020440;ENSRNOG00000008048;ENSRNOG00000011452;ENSRNOG00000013376;ENSRNOG00000019189;ENSRNOG00000007319;ENSRNOG00000049604;ENSRNOG00000020776;ENSRNOG00000000081
HALLMARK_BILE_ACID_METABOLISM	0.000447009750147002	0.00868152256423444	0.49849310876659	0.55351351837182	1.77400129002659	109	ENSRNOG00000019626;ENSRNOG00000005420;ENSRNOG00000016690;ENSRNOG00000020480;ENSRNOG00000016349;ENSRNOG00000016655;ENSRNOG00000008798;ENSRNOG00000019205;ENSRNOG00000037446;ENSRNOG00000006787;ENSRNOG00000002210;ENSRNOG00000020546;ENSRNOG00000010633;ENSRNOG00000004027;ENSRNOG00000047493;ENSRNOG00000039091;ENSRNOG00000025991;ENSRNOG00000020440;ENSRNOG00000017188;ENSRNOG00000019711;ENSRNOG00000002906;ENSRNOG00000009446;ENSRNOG00000017619;ENSRNOG00000015538;ENSRNOG00000059519;ENSRNOG00000019630;ENSRNOG00000001967;ENSRNOG00000018838;ENSRNOG00000013794;ENSRNOG00000021262;ENSRNOG00000022576;ENSRNOG00000016265;ENSRNOG00000009488;ENSRNOG00000010128;ENSRNOG00000014522;ENSRNOG00000011929
HALLMARK_E2F_TARGETS	0.000520891353854067	0.00868152256423444	0.477270815362862	-0.398576220123564	-1.58284555921668	193	ENSRNOG00000016810;ENSRNOG00000009339;ENSRNOG00000019100;ENSRNOG00000018815;ENSRNOG00000003661;ENSRNOG00000000632;ENSRNOG00000053047;ENSRNOG00000028415;ENSRNOG00000004479;ENSRNOG00000028137;ENSRNOG00000013774;ENSRNOG00000015329;ENSRNOG00000001457;ENSRNOG00000012543;ENSRNOG00000015529;ENSRNOG00000014960;ENSRNOG00000049033;ENSRNOG00000006996;ENSRNOG00000059894;ENSRNOG00000047692;ENSRNOG00000001833;ENSRNOG00000018411;ENSRNOG00000009823;ENSRNOG00000007906;ENSRNOG00000020281;ENSRNOG00000005157;ENSRNOG00000031431;ENSRNOG00000012835;ENSRNOG00000054479;ENSRNOG00000023262;ENSRNOG00000001088;ENSRNOG00000021264;ENSRNOG00000009503;ENSRNOG00000013598;ENSRNOG00000008956;ENSRNOG00000000938;ENSRNOG00000015810;ENSRNOG00000007805;ENSRNOG00000020906;ENSRNOG00000024170;ENSRNOG00000014786;ENSRNOG00000002855;ENSRNOG00000016034;ENSRNOG00000003802;ENSRNOG00000016316;ENSRNOG00000054286;ENSRNOG00000033065;ENSRNOG00000005141;ENSRNOG00000016930;ENSRNOG00000018063;ENSRNOG00000008249;ENSRNOG00000006392;ENSRNOG00000017850;ENSRNOG00000005376;ENSRNOG00000031916;ENSRNOG00000017509;ENSRNOG00000000122;ENSRNOG00000000692;ENSRNOG00000010721;ENSRNOG00000009785;ENSRNOG00000020022;ENSRNOG00000029862;ENSRNOG00000005659;ENSRNOG00000000488;ENSRNOG00000015389;ENSRNOG00000020006;ENSRNOG00000004908
HALLMARK_COAGULATION	0.00229113679354286	0.0190928066128571	0.431707695803346	0.507264740507105	1.63912115541218	119	ENSRNOG00000010890;ENSRNOG00000007949;ENSRNOG00000015139;ENSRNOG00000025053;ENSRNOG00000003430;ENSRNOG00000010331;ENSRNOG00000016325;ENSRNOG00000018991;ENSRNOG00000007378;ENSRNOG00000010208;ENSRNOG00000019680;ENSRNOG00000007457;ENSRNOG00000018566;ENSRNOG00000046834;ENSRNOG00000018282;ENSRNOG00000056219;ENSRNOG00000017223;ENSRNOG00000025074;ENSRNOG00000010947;ENSRNOG00000051061;ENSRNOG00000028701;ENSRNOG00000011971;ENSRNOG00000051235;ENSRNOG00000033444;ENSRNOG00000033564;ENSRNOG00000014288;ENSRNOG00000024848;ENSRNOG00000019689;ENSRNOG00000033386;ENSRNOG00000001414;ENSRNOG00000048472;ENSRNOG00000000596;ENSRNOG00000017231;ENSRNOG00000012623;ENSRNOG00000028896;ENSRNOG00000002783;ENSRNOG00000011800;ENSRNOG00000025959;ENSRNOG00000008937
HALLMARK_G2M_CHECKPOINT	0.00203908616962827	0.0190928066128571	0.431707695803346	-0.385473259456406	-1.53977933393747	188	ENSRNOG00000016810;ENSRNOG00000000585;ENSRNOG00000009339;ENSRNOG00000008165;ENSRNOG00000019100;ENSRNOG00000018815;ENSRNOG00000003661;ENSRNOG00000000632;ENSRNOG00000053047;ENSRNOG00000028415;ENSRNOG00000004479;ENSRNOG00000028137;ENSRNOG00000018824;ENSRNOG00000022325;ENSRNOG00000013774;ENSRNOG00000015329;ENSRNOG00000004487;ENSRNOG00000012543;ENSRNOG00000021815;ENSRNOG00000014960;ENSRNOG00000049033;ENSRNOG00000032178;ENSRNOG00000004709;ENSRNOG00000018929;ENSRNOG00000059894;ENSRNOG00000032778;ENSRNOG00000050482;ENSRNOG00000008620;ENSRNOG00000013727;ENSRNOG00000032929;ENSRNOG00000020281;ENSRNOG00000060703;ENSRNOG00000043416;ENSRNOG00000012835;ENSRNOG00000013057;ENSRNOG00000015423;ENSRNOG00000007483;ENSRNOG00000052275;ENSRNOG00000008956;ENSRNOG00000007805;ENSRNOG00000020906;ENSRNOG00000003388;ENSRNOG00000003802;ENSRNOG00000016316;ENSRNOG00000020804;ENSRNOG00000045568;ENSRNOG00000016001;ENSRNOG00000005141;ENSRNOG00000056069;ENSRNOG00000001996;ENSRNOG00000016930
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.00196965082597429	0.0190928066128571	0.431707695803346	0.458687249542419	1.57010587138219	185	ENSRNOG00000004245;ENSRNOG00000057367;ENSRNOG00000008103;ENSRNOG00000016807;ENSRNOG00000024128;ENSRNOG00000026842;ENSRNOG00000012457;ENSRNOG00000054689;ENSRNOG00000028884;ENSRNOG00000001991;ENSRNOG00000001442;ENSRNOG00000014254;ENSRNOG00000002790;ENSRNOG00000007883;ENSRNOG00000014625;ENSRNOG00000015320;ENSRNOG00000013000;ENSRNOG00000022980;ENSRNOG00000019525;ENSRNOG00000056216;ENSRNOG00000020288;ENSRNOG00000005877;ENSRNOG00000018816;ENSRNOG00000037638;ENSRNOG00000017965;ENSRNOG00000003269;ENSRNOG00000012999;ENSRNOG00000060005;ENSRNOG00000010277;ENSRNOG00000003163;ENSRNOG00000025383;ENSRNOG00000009155;ENSRNOG00000013505;ENSRNOG00000011383;ENSRNOG00000017481;ENSRNOG00000001559;ENSRNOG00000042503;ENSRNOG00000023520;ENSRNOG00000024629;ENSRNOG00000016180;ENSRNOG00000024967;ENSRNOG00000012136;ENSRNOG00000006375;ENSRNOG00000018044;ENSRNOG00000001440;ENSRNOG00000009888;ENSRNOG00000005130;ENSRNOG00000024568;ENSRNOG00000000064;ENSRNOG00000003626;ENSRNOG00000008279;ENSRNOG00000018117;ENSRNOG00000025910;ENSRNOG00000039980;ENSRNOG00000009713;ENSRNOG00000008566;ENSRNOG00000017826;ENSRNOG00000042903;ENSRNOG00000017032;ENSRNOG00000022922;ENSRNOG00000010807;ENSRNOG00000046424;ENSRNOG00000014078;ENSRNOG00000018281;ENSRNOG00000032134;ENSRNOG00000024972;ENSRNOG00000012383;ENSRNOG00000019223;ENSRNOG00000007967;ENSRNOG00000049912
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00273828359713573	0.0195591685509695	0.431707695803346	-0.407518627321092	-1.60495420651149	164	ENSRNOG00000001548;ENSRNOG00000007237;ENSRNOG00000010165;ENSRNOG00000011951;ENSRNOG00000002520;ENSRNOG00000016587;ENSRNOG00000003809;ENSRNOG00000014350;ENSRNOG00000055524;ENSRNOG00000006227;ENSRNOG00000020573;ENSRNOG00000003745;ENSRNOG00000005214;ENSRNOG00000019496;ENSRNOG00000018911;ENSRNOG00000001843;ENSRNOG00000020938;ENSRNOG00000007607;ENSRNOG00000001979;ENSRNOG00000005905;ENSRNOG00000011879;ENSRNOG00000006019;ENSRNOG00000026293;ENSRNOG00000001647;ENSRNOG00000059406;ENSRNOG00000008620;ENSRNOG00000019907;ENSRNOG00000008015;ENSRNOG00000043416;ENSRNOG00000011039;ENSRNOG00000006025;ENSRNOG00000009822;ENSRNOG00000019598;ENSRNOG00000014061;ENSRNOG00000008144;ENSRNOG00000037613
HALLMARK_FATTY_ACID_METABOLISM	0.00419551436695094	0.0262219647934434	0.407017918923954	0.467512988070971	1.55338351660682	146	ENSRNOG00000045636;ENSRNOG00000016690;ENSRNOG00000009597;ENSRNOG00000003307;ENSRNOG00000002826;ENSRNOG00000008103;ENSRNOG00000006787;ENSRNOG00000024128;ENSRNOG00000002210;ENSRNOG00000047708;ENSRNOG00000010633;ENSRNOG00000004027;ENSRNOG00000005424;ENSRNOG00000014254;ENSRNOG00000016552;ENSRNOG00000016451;ENSRNOG00000019180;ENSRNOG00000033262;ENSRNOG00000005906;ENSRNOG00000049560;ENSRNOG00000017619;ENSRNOG00000022980;ENSRNOG00000012436;ENSRNOG00000019189;ENSRNOG00000032959;ENSRNOG00000032246;ENSRNOG00000052802;ENSRNOG00000016265;ENSRNOG00000019500;ENSRNOG00000003163;ENSRNOG00000025383;ENSRNOG00000011612;ENSRNOG00000014522;ENSRNOG00000018145
HALLMARK_ADIPOGENESIS	0.00968362458743555	0.0330855443712893	0.380730400722792	0.437245441678674	1.49687741720708	183	ENSRNOG00000004245;ENSRNOG00000019342;ENSRNOG00000002215;ENSRNOG00000015658;ENSRNOG00000024128;ENSRNOG00000012457;ENSRNOG00000054689;ENSRNOG00000020546;ENSRNOG00000001991;ENSRNOG00000001442;ENSRNOG00000010838;ENSRNOG00000033262;ENSRNOG00000005906;ENSRNOG00000048949;ENSRNOG00000052564;ENSRNOG00000022485;ENSRNOG00000055078;ENSRNOG00000016924;ENSRNOG00000046834;ENSRNOG00000037850;ENSRNOG00000028356;ENSRNOG00000013223;ENSRNOG00000021524;ENSRNOG00000028711;ENSRNOG00000017513;ENSRNOG00000006623;ENSRNOG00000009063;ENSRNOG00000039560;ENSRNOG00000020776;ENSRNOG00000058658;ENSRNOG00000001205;ENSRNOG00000052802;ENSRNOG00000010277;ENSRNOG00000003163;ENSRNOG00000021139;ENSRNOG00000019147;ENSRNOG00000011696;ENSRNOG00000009155;ENSRNOG00000021202;ENSRNOG00000018145;ENSRNOG00000054423;ENSRNOG00000001807;ENSRNOG00000060381;ENSRNOG00000002433;ENSRNOG00000010805;ENSRNOG00000023520;ENSRNOG00000015029;ENSRNOG00000000981;ENSRNOG00000018044;ENSRNOG00000001440
HALLMARK_ANDROGEN_RESPONSE	0.0076457355787585	0.0330855443712893	0.407017918923954	0.5092277802124	1.58916245278305	91	ENSRNOG00000016122;ENSRNOG00000016690;ENSRNOG00000020480;ENSRNOG00000027089;ENSRNOG00000006787;ENSRNOG00000006305;ENSRNOG00000006859;ENSRNOG00000016552;ENSRNOG00000024470;ENSRNOG00000026455;ENSRNOG00000009980;ENSRNOG00000022523;ENSRNOG00000002926;ENSRNOG00000017467;ENSRNOG00000048495;ENSRNOG00000004912;ENSRNOG00000010064;ENSRNOG00000011696;ENSRNOG00000014872;ENSRNOG00000001607
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.00992566331138679	0.0330855443712893	0.380730400722792	-0.427700636130945	-1.51398068402458	92	ENSRNOG00000026965;ENSRNOG00000006227;ENSRNOG00000019246;ENSRNOG00000003289;ENSRNOG00000030467;ENSRNOG00000001369;ENSRNOG00000031081;ENSRNOG00000019387;ENSRNOG00000015577;ENSRNOG00000017496;ENSRNOG00000020678;ENSRNOG00000003217;ENSRNOG00000001963;ENSRNOG00000008196;ENSRNOG00000008144;ENSRNOG00000020744;ENSRNOG00000049994;ENSRNOG00000001187;ENSRNOG00000002341;ENSRNOG00000007690;ENSRNOG00000029195;ENSRNOG00000037198;ENSRNOG00000022298;ENSRNOG00000009471;ENSRNOG00000023463;ENSRNOG00000023969;ENSRNOG00000018247;ENSRNOG00000013267;ENSRNOG00000004359;ENSRNOG00000017414
HALLMARK_MTORC1_SIGNALING	0.00696498234073107	0.0330855443712893	0.407017918923954	0.427335780663856	1.47049815037486	190	ENSRNOG00000016122;ENSRNOG00000009550;ENSRNOG00000020989;ENSRNOG00000011361;ENSRNOG00000016690;ENSRNOG00000020480;ENSRNOG00000007234;ENSRNOG00000006787;ENSRNOG00000031367;ENSRNOG00000004903;ENSRNOG00000055365;ENSRNOG00000006859;ENSRNOG00000016552;ENSRNOG00000020440;ENSRNOG00000002393;ENSRNOG00000007546;ENSRNOG00000048949;ENSRNOG00000009754;ENSRNOG00000016924;ENSRNOG00000016356;ENSRNOG00000005248;ENSRNOG00000019525;ENSRNOG00000034013;ENSRNOG00000012881;ENSRNOG00000007319;ENSRNOG00000026963;ENSRNOG00000020776;ENSRNOG00000016831;ENSRNOG00000052802;ENSRNOG00000000521;ENSRNOG00000014525;ENSRNOG00000001766;ENSRNOG00000017206;ENSRNOG00000017601;ENSRNOG00000001643;ENSRNOG00000010298;ENSRNOG00000050997;ENSRNOG00000006462
HALLMARK_MYC_TARGETS_V1	0.00690162280382685	0.0330855443712893	0.407017918923954	0.433055652710176	1.49079108125606	195	ENSRNOG00000036839;ENSRNOG00000015642;ENSRNOG00000001148;ENSRNOG00000025936;ENSRNOG00000013479;ENSRNOG00000012457;ENSRNOG00000004616;ENSRNOG00000019453;ENSRNOG00000003763;ENSRNOG00000007663;ENSRNOG00000031367;ENSRNOG00000009963;ENSRNOG00000005424;ENSRNOG00000012558;ENSRNOG00000006949;ENSRNOG00000031965;ENSRNOG00000002393;ENSRNOG00000014179;ENSRNOG00000000248;ENSRNOG00000017724;ENSRNOG00000038045;ENSRNOG00000019007;ENSRNOG00000024186;ENSRNOG00000005736;ENSRNOG00000018816;ENSRNOG00000008639;ENSRNOG00000052620;ENSRNOG00000012999;ENSRNOG00000014525;ENSRNOG00000005890;ENSRNOG00000014616;ENSRNOG00000017418;ENSRNOG00000016137;ENSRNOG00000046271;ENSRNOG00000050997;ENSRNOG00000004500;ENSRNOG00000046799;ENSRNOG00000007088;ENSRNOG00000031421;ENSRNOG00000026905;ENSRNOG00000003890;ENSRNOG00000026474;ENSRNOG00000006375
HALLMARK_PEROXISOME	0.0098570209405918	0.0330855443712893	0.380730400722792	0.487274706017378	1.53323841603947	94	ENSRNOG00000016690;ENSRNOG00000020480;ENSRNOG00000016655;ENSRNOG00000019205;ENSRNOG00000006787;ENSRNOG00000002210;ENSRNOG00000010633;ENSRNOG00000004027;ENSRNOG00000009963;ENSRNOG00000019180;ENSRNOG00000019711;ENSRNOG00000002906;ENSRNOG00000017619;ENSRNOG00000015538;ENSRNOG00000001420;ENSRNOG00000021262;ENSRNOG00000008639;ENSRNOG00000016265;ENSRNOG00000010128;ENSRNOG00000014522;ENSRNOG00000018145;ENSRNOG00000011929;ENSRNOG00000018920
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.00874950130878879	0.0330855443712893	0.380730400722792	-0.52470696604935	-1.59460922708126	43	ENSRNOG00000001890;ENSRNOG00000006302;ENSRNOG00000017194;ENSRNOG00000016166;ENSRNOG00000013409;ENSRNOG00000018186;ENSRNOG00000013118;ENSRNOG00000009088
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0151135642119902	0.0472298881624693	0.380730400722792	0.430894333253951	1.45623254631628	166	ENSRNOG00000045636;ENSRNOG00000010589;ENSRNOG00000029543;ENSRNOG00000015498;ENSRNOG00000058271;ENSRNOG00000009797;ENSRNOG00000049768;ENSRNOG00000017766;ENSRNOG00000002232;ENSRNOG00000015236;ENSRNOG00000005108;ENSRNOG00000055446;ENSRNOG00000000096;ENSRNOG00000012787;ENSRNOG00000022523;ENSRNOG00000059479;ENSRNOG00000005248;ENSRNOG00000013963;ENSRNOG00000012414;ENSRNOG00000020539;ENSRNOG00000048495;ENSRNOG00000011068;ENSRNOG00000018110;ENSRNOG00000015076;ENSRNOG00000020776;ENSRNOG00000060237;ENSRNOG00000016866;ENSRNOG00000014702;ENSRNOG00000046333;ENSRNOG00000010128;ENSRNOG00000009862;ENSRNOG00000010298;ENSRNOG00000004500;ENSRNOG00000052391;ENSRNOG00000009144;ENSRNOG00000021206;ENSRNOG00000010635;ENSRNOG00000000981;ENSRNOG00000009972;ENSRNOG00000027871;ENSRNOG00000042374;ENSRNOG00000010558;ENSRNOG00000057645;ENSRNOG00000001004;ENSRNOG00000021131
HALLMARK_MYOGENESIS	0.0202423673695132	0.0595363746162153	0.352487857583619	0.42703653567341	1.42565469024843	148	ENSRNOG00000019372;ENSRNOG00000008245;ENSRNOG00000008829;ENSRNOG00000002215;ENSRNOG00000015658;ENSRNOG00000049768;ENSRNOG00000003897;ENSRNOG00000010633;ENSRNOG00000000875;ENSRNOG00000005906;ENSRNOG00000057701;ENSRNOG00000001815;ENSRNOG00000018991;ENSRNOG00000052564;ENSRNOG00000057880;ENSRNOG00000014371;ENSRNOG00000020719;ENSRNOG00000016731;ENSRNOG00000018110;ENSRNOG00000033564;ENSRNOG00000047457;ENSRNOG00000015396;ENSRNOG00000017628;ENSRNOG00000016617;ENSRNOG00000008785;ENSRNOG00000018220;ENSRNOG00000000521;ENSRNOG00000018962;ENSRNOG00000046333;ENSRNOG00000018145;ENSRNOG00000001254;ENSRNOG00000050997;ENSRNOG00000001807;ENSRNOG00000060381;ENSRNOG00000019810;ENSRNOG00000016214;ENSRNOG00000042029;ENSRNOG00000057620
HALLMARK_P53_PATHWAY	0.0267842767315186	0.0744007686986628	0.352487857583619	-0.340754050181213	-1.34159073709284	171	ENSRNOG00000011951;ENSRNOG00000050473;ENSRNOG00000058497;ENSRNOG00000009222;ENSRNOG00000016587;ENSRNOG00000013771;ENSRNOG00000003809;ENSRNOG00000020876;ENSRNOG00000018421;ENSRNOG00000000047;ENSRNOG00000043201;ENSRNOG00000014071;ENSRNOG00000003745;ENSRNOG00000007133;ENSRNOG00000010178;ENSRNOG00000020938;ENSRNOG00000030391;ENSRNOG00000037690;ENSRNOG00000014948;ENSRNOG00000020451;ENSRNOG00000019357;ENSRNOG00000026293;ENSRNOG00000019387;ENSRNOG00000016029;ENSRNOG00000001160;ENSRNOG00000019206;ENSRNOG00000059406;ENSRNOG00000031612;ENSRNOG00000003515;ENSRNOG00000008015;ENSRNOG00000014090;ENSRNOG00000006557;ENSRNOG00000021264;ENSRNOG00000025025;ENSRNOG00000009244;ENSRNOG00000009325;ENSRNOG00000002255;ENSRNOG00000006304;ENSRNOG00000009068
