"pathway","transcriptome_pval","transcriptome_padj","combined_pval","combined_padj"
"(REACTOME) Metabolism",5.90291162155454e-17,1.17349883036504e-13,5.90291162155454e-17,1.17349883036504e-13
"(REACTOME) Metabolism of lipids",1.89241701553234e-11,1.88106251343915e-08,1.89241701553234e-11,1.88106251343915e-08
"(REACTOME) L13a-mediated translational silencing of Ceruloplasmin expression",4.75766227441386e-10,1.89164652030695e-07,4.75766227441386e-10,1.89164652030695e-07
"(REACTOME) Eukaryotic Translation Initiation",4.07262012164001e-10,1.89164652030695e-07,4.07262012164001e-10,1.89164652030695e-07
"(REACTOME) Cap-dependent Translation Initiation",4.07262012164001e-10,1.89164652030695e-07,4.07262012164001e-10,1.89164652030695e-07
"(KEGG) Coronavirus disease - COVID-19",1.68844018111773e-09,4.5052391442794e-07,1.68844018111773e-09,4.5052391442794e-07
"(REACTOME) SRP-dependent cotranslational protein targeting to membrane",1.81297349870399e-09,4.5052391442794e-07,1.81297349870399e-09,4.5052391442794e-07
"(REACTOME) Formation of a pool of free 40S subunits",1.53092521114926e-09,4.5052391442794e-07,1.53092521114926e-09,4.5052391442794e-07
"(KEGG) Metabolic pathways",2.5162680006201e-09,5.55815642803639e-07,2.5162680006201e-09,5.55815642803639e-07
"(REACTOME) Nonsense-Mediated Decay (NMD)",3.27588185588805e-09,5.92041193591404e-07,3.27588185588805e-09,5.92041193591404e-07
"(REACTOME) Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",3.27588185588805e-09,5.92041193591404e-07,3.27588185588805e-09,5.92041193591404e-07
"(REACTOME) Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",4.01408757448497e-09,6.6500050817301e-07,4.01408757448497e-09,6.6500050817301e-07
"(REACTOME) GTP hydrolysis and joining of the 60S ribosomal subunit",5.13147514186819e-09,7.84720967848767e-07,5.13147514186819e-09,7.84720967848767e-07
"(REACTOME) Mitotic Metaphase and Anaphase",8.11910021036149e-09,1.07605141454658e-06,8.11910021036149e-09,1.07605141454658e-06
"(REACTOME) ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA",7.95831886702237e-09,1.07605141454658e-06,7.95831886702237e-09,1.07605141454658e-06
"(REACTOME) PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA",1.8529585415358e-08,2.30230098785823e-06,1.8529585415358e-08,2.30230098785823e-06
"(REACTOME) Separation of Sister Chromatids",3.26340279766604e-08,3.81626162456476e-06,3.26340279766604e-08,3.81626162456476e-06
"(REACTOME) Mitotic Anaphase",3.88981874748264e-08,4.29608870555305e-06,3.88981874748264e-08,4.29608870555305e-06
"(REACTOME) Translation",4.59564125283829e-08,4.80849200560133e-06,4.59564125283829e-08,4.80849200560133e-06
"(REACTOME) Cholesterol biosynthesis",9.78314404122296e-08,9.11038177578074e-06,9.78314404122296e-08,9.11038177578074e-06
"(REACTOME) Major pathway of rRNA processing in the nucleolus and cytosol",1.09612346447761e-07,9.11038177578074e-06,1.09612346447761e-07,9.11038177578074e-06
"(REACTOME) Cell Cycle Checkpoints",1.09984488238802e-07,9.11038177578074e-06,1.09984488238802e-07,9.11038177578074e-06
"(REACTOME) rRNA processing",1.09612346447761e-07,9.11038177578074e-06,1.09612346447761e-07,9.11038177578074e-06
"(REACTOME) rRNA processing in the nucleus and cytosol",1.09612346447761e-07,9.11038177578074e-06,1.09612346447761e-07,9.11038177578074e-06
"(REACTOME) Cell Cycle",2.45497254398395e-07,1.95219416697604e-05,2.45497254398395e-07,1.95219416697604e-05
"(REACTOME) Ribosome-associated quality control",4.50830327971797e-07,3.44711804618436e-05,4.50830327971797e-07,3.44711804618436e-05
