category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0008610	9.00317041459134e-11	1	23	618	lipid biosynthetic process	BP	2.06865846616065e-06	1
GO:0044283	1.86142618663649e-10	0.999999999976693	21	534	small molecule biosynthetic process	BP	2.13849947451734e-06	1
GO:0044281	8.85834495318894e-10	0.999999999791649	36	1667	small molecule metabolic process	BP	6.78460639964741e-06	1
GO:0008202	5.84260693431941e-09	0.999999999322472	15	311	steroid metabolic process	BP	3.12774180877461e-05	1
GO:0016126	6.8062449596871e-09	0.99999999975103	8	56	sterol biosynthetic process	BP	3.12774180877461e-05	1
GO:0006629	1.10419174025088e-08	0.999999997325341	30	1309	lipid metabolic process	BP	3.93109248740265e-05	1
GO:1901617	1.19761706975752e-08	0.999999998789345	13	223	organic hydroxy compound biosynthetic process	BP	3.93109248740265e-05	1
GO:0006694	1.57039892324217e-08	0.999999998759715	11	157	steroid biosynthetic process	BP	4.51038200741691e-05	1
GO:1901615	5.29166010317992e-08	0.999999990945162	18	524	organic hydroxy compound metabolic process	BP	0.000127548511638422	1
GO:0016491	5.55113860114123e-08	0.999999989418197	20	685	oxidoreductase activity	MF	0.000127548511638422	1
GO:0046165	7.5741579262686e-08	0.999999993985921	10	134	alcohol biosynthetic process	BP	0.000158210387883522	1
GO:0006695	9.99181124419471e-08	0.999999996095429	7	52	cholesterol biosynthetic process	BP	0.000176601420736817	1
GO:1902653	9.99181124419471e-08	0.999999996095429	7	52	secondary alcohol biosynthetic process	BP	0.000176601420736817	1
GO:0006066	2.44436305288352e-07	0.999999964421932	14	341	alcohol metabolic process	BP	0.000401172356186462	1
GO:0038183	3.06670575826837e-07	0.999999994538152	5	19	bile acid signaling pathway	BP	0.000469757988051549	1
GO:0008203	4.98321084563992e-07	0.999999958646699	9	130	cholesterol metabolic process	BP	0.000715620222501678	1
GO:0016125	7.5385188818749e-07	0.999999934070412	9	137	sterol metabolic process	BP	0.00101889734322847	1
GO:0022804	9.46155336825231e-07	0.999999845137867	14	363	active transmembrane transporter activity	MF	0.00114900546762321	1
GO:0010033	9.50128558334032e-07	0.999999645672252	49	3612	response to organic substance	BP	0.00114900546762321	1
GO:1902652	1.16549072738692e-06	0.999999892311425	9	143	secondary alcohol metabolic process	BP	0.00133897402215847	1
GO:0042221	1.31140689311978e-06	0.999999485473276	58	4832	response to chemical	BP	0.00143486648491492	1
GO:0044255	1.65026423480061e-06	0.999999576461625	22	961	cellular lipid metabolic process	BP	0.00172355096922789	1
GO:0014070	1.73283546186847e-06	0.999999489522901	27	1403	response to organic cyclic compound	BP	0.0017311026264066	1
GO:0055090	5.08682460406265e-06	0.999999821442464	5	37	acylglycerol homeostasis	BP	0.0046751987571019	1
GO:0070328	5.08682460406265e-06	0.999999821442464	5	37	triglyceride homeostasis	BP	0.0046751987571019	1
GO:0031667	5.58872245287634e-06	0.999998658280157	18	732	response to nutrient levels	BP	0.00493892599229768	1
GO:0009410	6.67458077546232e-06	0.999998448710198	17	675	response to xenobiotic stimulus	BP	0.00568006823991843	1
GO:1901700	9.37014023417612e-06	0.999996598089913	34	2272	response to oxygen-containing compound	BP	0.00768920400573803	1
GO:0009991	9.85942585949072e-06	0.999997527878782	18	763	response to extracellular stimulus	BP	0.00781172510253511	1
GO:0097305	1.47907854664357e-05	0.999997100795166	13	466	response to alcohol	BP	0.0113282625887431	1
GO:0035634	1.65402781893758e-05	0.999999584358799	4	23	response to stilbenoid	BP	0.0122595474824932	1
GO:0043434	3.42576134063449e-05	0.999991751394635	15	592	response to peptide hormone	BP	0.0245980369761746	1
GO:0006820	3.97295883915824e-05	0.999990847645808	14	510	anion transport	BP	0.02766262886283	1
GO:1901652	5.19050889587738e-05	0.999986361417511	16	688	response to peptide	BP	0.0343020430602911	1
GO:0015399	5.22510121908947e-05	0.999994372276977	7	133	primary active transmembrane transporter activity	MF	0.0343020430602911	1
GO:0009605	5.40056664735821e-05	0.999977591842214	38	2928	response to external stimulus	BP	0.0344691166267638	1
GO:0006817	6.90875394871921e-05	0.999997428417591	4	28	phosphate ion transport	BP	0.0386124501830558	1
