category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p_adjust_over_represented	p_adjust_under_represented
00100	5.26166316308511e-08	0.999999998961904	6	18	1.18387421169415e-05	0.999999998961904
04976	0.000259802099491617	0.9999718801022	6	70	0.0292277361928069	0.999999998961904
00900	0.000573678056168578	0.999981585269446	3	14	0.0430258542126434	0.999999998961904
01100	0.00103838027875447	0.999607578372648	23	1049	0.0584088906799388	0.999999998961904
00980	0.002125010147928	0.999797944020609	4	52	0.09562545665676	0.999999998961904
02010	0.00276562302499065	0.999720405558947	4	42	0.103710863437149	0.999999998961904
00982	0.00406351415683424	0.999534291892711	4	60	0.130612955041101	0.999999998961904
00480	0.0125479117945953	0.998642677802834	3	51	0.331967683743204	0.999999998961904
00190	0.0132787073497281	0.997821504508635	4	115	0.331967683743204	0.999999998961904
03010	0.0147603959802862	0.998278210202448	3	86	0.33210890955644	0.999999998961904
05012	0.0191856212979107	0.996483599519034	4	124	0.39243316291181	0.999999998961904
00030	0.0378705226100227	0.996544872991216	2	26	0.710072298937926	0.999999998961904
00260	0.0522320382618838	0.994255743526613	2	32	0.904016046840296	0.999999998961904
00140	0.0734222744840249	0.990188337240796	2	36	1	0.999999998961904
00620	0.0741981866128009	0.990004887444955	2	38	1	0.999999998961904
05016	0.0754240880278576	0.978613723140931	4	171	1	0.999999998961904
04975	0.0861461589970158	0.987306942147742	2	44	1	0.999999998961904
00603	0.144923495092214	0.989920960577672	1	13	1	0.999999998961904
04260	0.154638789694466	0.967563579439327	2	70	1	0.999999998961904
00533	0.172689994920471	0.985373592520208	1	15	1	0.999999998961904
00604	0.172704013285078	0.985371133594581	1	15	1	0.999999998961904
00450	0.173895309686975	0.985161361569169	1	15	1	0.999999998961904
00590	0.175214854710025	0.960388361250089	2	67	1	0.999999998961904
00120	0.175956057745041	0.984794705506411	1	15	1	0.999999998961904
00053	0.180604313149355	0.983949997474142	1	15	1	0.999999998961904
05010	0.195323953676314	0.934494077419126	3	159	1	0.999999998961904
04920	0.198824931525999	0.951449503627291	2	64	1	0.999999998961904
04910	0.200255728638667	0.932244407331621	3	122	1	0.999999998961904
03320	0.202458792384726	0.949917650076687	2	70	1	0.999999998961904
00040	0.204423015683238	0.979002548201515	1	18	1	0.999999998961904
04140	0.219489008270515	0.975353038203998	1	23	1	0.999999998961904
01040	0.242934219311006	0.969454119110353	1	24	1	0.999999998961904
05410	0.248042365432607	0.930131362311881	2	75	1	0.999999998961904
00512	0.254136044232315	0.966532523088884	1	22	1	0.999999998961904
00650	0.25957844822846	0.964936087408223	1	23	1	0.999999998961904
00640	0.324409135906976	0.943054275889232	1	31	1	0.999999998961904
00051	0.327268984508566	0.94182148226097	1	34	1	0.999999998961904
00270	0.332392582137142	0.939845927501675	1	34	1	0.999999998961904
00500	0.342654275871396	0.935999027833207	1	30	1	0.999999998961904
00983	0.364670230125594	0.926307523259145	1	38	1	0.999999998961904
04973	0.369093572694409	0.924557757242428	1	34	1	0.999999998961904
00830	0.411468419194735	0.903758073978733	1	44	1	0.999999998961904
04630	0.420643077875636	0.82901190064318	2	124	1	0.999999998961904
00520	0.428342081854556	0.894702071937906	1	47	1	0.999999998961904
04930	0.439501646934716	0.888611407007596	1	45	1	0.999999998961904
04150	0.467753223632627	0.871759202175014	1	50	1	0.999999998961904
04360	0.470339983942449	0.792248083095239	2	119	1	0.999999998961904
05221	0.49739277060125	0.852570471801686	1	53	1	0.999999998961904
00010	0.516323943868651	0.839145461241304	1	62	1	0.999999998961904
05416	0.565361409280736	0.801439139853045	1	70	1	0.999999998961904
05212	0.571242661652079	0.796754712767789	1	65	1	0.999999998961904
04062	0.572706093710677	0.703463353266645	2	167	1	0.999999998961904
05100	0.581761410370248	0.787740976767	1	69	1	0.999999998961904
04520	0.60204001460883	0.769841607295328	1	70	1	0.999999998961904
05412	0.609279331498571	0.763251852035391	1	69	1	0.999999998961904
04210	0.628582162202651	0.744566868744671	1	80	1	0.999999998961904
00564	0.633041932580278	0.740216869580682	1	79	1	0.999999998961904
04350	0.633077580055283	0.740124496942617	1	81	1	0.999999998961904
00240	0.634649659106011	0.738341141776424	1	90	1	0.999999998961904
04512	0.639010349102586	0.734501024965554	1	72	1	0.999999998961904
05414	0.655838781002485	0.716883556457583	1	82	1	0.999999998961904
03040	0.742438818676958	0.612819513657215	1	122	1	0.999999998961904
04270	0.757559786116693	0.592212224826788	1	111	1	0.999999998961904
05160	0.763031223350192	0.584378543057519	1	115	1	0.999999998961904
05145	0.771367150706413	0.572275609636781	1	117	1	0.999999998961904
00230	0.846062224428087	0.448209396621151	1	156	1	0.999999998961904
04141	0.853921234461271	0.43328623057385	1	159	1	0.999999998961904
04060	0.874353432927814	0.392258422464301	1	184	1	0.999999998961904
04020	0.894995665997404	0.347659512890709	1	173	1	0.999999998961904
04080	0.958429649682311	0.178146097150743	1	254	1	0.999999998961904
04010	0.961480789800293	0.168195552875596	1	257	1	0.999999998961904
05200	0.978391446489552	0.10769595853485	1	294	1	0.999999998961904
04977	0.999999999999992	0.745067258026191	0	24	1	0.999999998961904
00600	0.999999999999996	0.590089470539263	0	41	1	0.999999998961904
04740	0.999999999999999	0.0967838600725404	0	303	1	0.999999998961904
04810	1	0.0841203758997103	0	197	1	0.999999998961904
03015	1	0.358617847170606	0	83	1	0.999999998961904
00020	1	0.704372422353927	0	29	1	0.999999998961904
00052	1	0.751543205782716	0	23	1	0.999999998961904
00061	1	0.923231685292882	0	6	1	0.999999998961904
00062	1	0.923836231993871	0	7	1	0.999999998961904
00071	1	0.607045187935894	0	39	1	0.999999998961904
00072	1	0.907785170486877	0	8	1	0.999999998961904
00130	1	0.925213809255228	0	7	1	0.999999998961904
00232	1	0.934891425785898	0	6	1	0.999999998961904
00250	1	0.662830328402932	0	32	1	0.999999998961904
00280	1	0.576776931758135	0	45	1	0.999999998961904
00290	1	0.884700619554849	0	9	1	0.999999998961904
00300	1	0.962751926029563	0	3	1	0.999999998961904
00310	1	0.56252270673115	0	43	1	0.999999998961904
00330	1	0.5363309047339	0	52	1	0.999999998961904
00340	1	0.726958006034797	0	25	1	0.999999998961904
00350	1	0.685629079319339	0	31	1	0.999999998961904
00360	1	0.846778608861184	0	14	1	0.999999998961904
00380	1	0.576663085101798	0	45	1	0.999999998961904
00400	1	0.928761570882922	0	6	1	0.999999998961904
00410	1	0.774593266246994	0	20	1	0.999999998961904
00430	1	0.900957259012921	0	9	1	0.999999998961904
00460	1	0.935620081350768	0	6	1	0.999999998961904
00471	1	0.958154539588078	0	3	1	0.999999998961904
00472	1	0.992536837528709	0	1	1	0.999999998961904
00510	1	0.559906273701529	0	45	1	0.999999998961904
00511	1	0.808295388758508	0	17	1	0.999999998961904
00514	1	0.678617164586918	0	29	1	0.999999998961904
00524	1	0.944607670717785	0	4	1	0.999999998961904
00531	1	0.815667659270188	0	16	1	0.999999998961904
00532	1	0.747744294463084	0	22	1	0.999999998961904
00534	1	0.714053837759454	0	25	1	0.999999998961904
00561	1	0.544804202022365	0	48	1	0.999999998961904
00562	1	0.462025403100379	0	58	1	0.999999998961904
00563	1	0.778194775591463	0	21	1	0.999999998961904
00565	1	0.658032478785534	0	35	1	0.999999998961904
00591	1	0.69678082676379	0	31	1	0.999999998961904
00592	1	0.803029851499094	0	19	1	0.999999998961904
00601	1	0.738575651696118	0	24	1	0.999999998961904
00630	1	0.821085475609529	0	17	1	0.999999998961904
00670	1	0.803351922868271	0	17	1	0.999999998961904
00730	1	0.953615247844824	0	4	1	0.999999998961904
00740	1	0.87186451873209	0	11	1	0.999999998961904
00750	1	0.915277158988867	0	7	1	0.999999998961904
00760	1	0.766771901788993	0	22	1	0.999999998961904
00770	1	0.820072730868583	0	16	1	0.999999998961904
00780	1	0.964683250800951	0	3	1	0.999999998961904
00785	1	0.96472153553246	0	3	1	0.999999998961904
00790	1	0.887572957421853	0	11	1	0.999999998961904
00860	1	0.722680470907802	0	27	1	0.999999998961904
00910	1	0.771401287388475	0	23	1	0.999999998961904
00920	1	0.899383489086853	0	9	1	0.999999998961904
00970	1	0.605886015754153	0	38	1	0.999999998961904
03008	1	0.41642486166779	0	75	1	0.999999998961904
03013	1	0.183751288578862	0	141	1	0.999999998961904
03018	1	0.443361602010086	0	70	1	0.999999998961904
03020	1	0.769207382472885	0	26	1	0.999999998961904
03022	1	0.683813886488661	0	32	1	0.999999998961904
03030	1	0.68885137445701	0	32	1	0.999999998961904
03050	1	0.652013679180253	0	45	1	0.999999998961904
03060	1	0.800735354313088	0	21	1	0.999999998961904
03410	1	0.691980040049189	0	34	1	0.999999998961904
03420	1	0.628590984836926	0	41	1	0.999999998961904
03430	1	0.781967041292301	0	21	1	0.999999998961904
03440	1	0.737495261167446	0	25	1	0.999999998961904
03450	1	0.856873040529397	0	12	1	0.999999998961904
04012	1	0.336654009156107	0	84	1	0.999999998961904
04070	1	0.363050195942914	0	74	1	0.999999998961904
04110	1	0.237980665762025	0	113	1	0.999999998961904
04114	1	0.266924421026946	0	105	1	0.999999998961904
04115	1	0.489436575662913	0	60	1	0.999999998961904
04120	1	0.209596624222464	0	123	1	0.999999998961904
04122	1	0.908601617652058	0	9	1	0.999999998961904
04130	1	0.698412383227626	0	32	1	0.999999998961904
04142	1	0.250150976948175	0	113	1	0.999999998961904
04144	1	0.0735322262251488	0	203	1	0.999999998961904
04145	1	0.170331034508066	0	149	1	0.999999998961904
04146	1	0.397824771407921	0	78	1	0.999999998961904
04310	1	0.170114421726963	0	136	1	0.999999998961904
04320	1	0.77074903299872	0	19	1	0.999999998961904
